"etort1","etort2","divergence"
"etort-33","etort-38",0.223778
"etort-34","etort-38",0.224374
"etort-35","etort-38",0.212563
"etort-36","etort-38",0.190711
"etort-37","etort-38",0.186567
"etort-38","etort-38",0.115976
"etort-1","etort-39",0.213427
"etort-2","etort-39",0.201596
"etort-3","etort-39",0.203376
"etort-4","etort-39",0.203436
"etort-5","etort-39",0.197642
"etort-6","etort-39",0.202524
"etort-7","etort-39",0.206739
"etort-8","etort-39",0.200117
"etort-9","etort-39",0.192127
"etort-10","etort-39",0.203611
"etort-11","etort-39",0.204469
"etort-12","etort-39",0.213769
"etort-13","etort-39",0.199859
"etort-14","etort-39",0.204174
"etort-15","etort-39",0.221468
"etort-16","etort-39",0.208024
"etort-17","etort-39",0.223854
"etort-18","etort-39",0.202417
"etort-19","etort-39",0.202475
"etort-20","etort-39",0.203325
"etort-21","etort-39",0.202346
"etort-22","etort-39",0.201028
"etort-23","etort-39",0.205452
"etort-24","etort-39",0.203701
"etort-25","etort-39",0.207036
"etort-26","etort-39",0.193111
"etort-27","etort-39",0.20674
"etort-28","etort-39",0.204873
"etort-30","etort-39",0.213651
"etort-31","etort-39",0.227693
"etort-32","etort-39",0.199691
"etort-33","etort-39",0.195454
"etort-34","etort-39",0.193426
"etort-35","etort-39",0.204956
"etort-36","etort-39",0.220402
"etort-37","etort-39",0.224314
"etort-38","etort-39",0.224925
"etort-39","etort-39",0.128062
"etort-1","etort-40",0.211726
"etort-2","etort-40",0.20238
"etort-3","etort-40",0.202633
"etort-4","etort-40",0.202004
"etort-5","etort-40",0.197516
"etort-6","etort-40",0.203561
"etort-7","etort-40",0.208934
"etort-8","etort-40",0.200261
"etort-9","etort-40",0.190222
"etort-10","etort-40",0.202204
"etort-11","etort-40",0.202895
"etort-12","etort-40",0.210434
"etort-13","etort-40",0.199886
"etort-14","etort-40",0.205109
"etort-15","etort-40",0.223055
"etort-16","etort-40",0.204808
"etort-17","etort-40",0.223842
"etort-18","etort-40",0.201943
"etort-19","etort-40",0.20297
"etort-20","etort-40",0.203771
"etort-21","etort-40",0.202282
"etort-22","etort-40",0.201729
"etort-23","etort-40",0.20373
"etort-24","etort-40",0.200312
"etort-25","etort-40",0.206579
"etort-26","etort-40",0.194769
"etort-27","etort-40",0.205956
"etort-28","etort-40",0.204164
"etort-30","etort-40",0.211245
"etort-31","etort-40",0.228023
"etort-32","etort-40",0.200355
"etort-33","etort-40",0.195402
"etort-34","etort-40",0.19545
"etort-35","etort-40",0.203698
"etort-36","etort-40",0.220765
"etort-37","etort-40",0.223724
"etort-38","etort-40",0.226617
"etort-39","etort-40",0.192379
"etort-40","etort-40",0.125322
"etort-1","etort-41",0.216055
"etort-2","etort-41",0.206163
"etort-3","etort-41",0.205829
"etort-4","etort-41",0.206324
"etort-5","etort-41",0.198833
"etort-6","etort-41",0.203835
"etort-7","etort-41",0.208832
"etort-8","etort-41",0.199933
"etort-9","etort-41",0.196071
"etort-10","etort-41",0.204852
"etort-11","etort-41",0.207778
"etort-12","etort-41",0.214971
"etort-13","etort-41",0.204817
"etort-14","etort-41",0.20827
"etort-15","etort-41",0.223338
"etort-16","etort-41",0.209252
"etort-17","etort-41",0.224818
"etort-18","etort-41",0.203609
"etort-19","etort-41",0.206862
"etort-20","etort-41",0.206484
"etort-21","etort-41",0.205578
"etort-22","etort-41",0.205321
"etort-23","etort-41",0.209679
"etort-24","etort-41",0.205413
"etort-25","etort-41",0.208857
"etort-26","etort-41",0.199535
"etort-27","etort-41",0.209027
"etort-28","etort-41",0.209811
"etort-30","etort-41",0.21146
"etort-31","etort-41",0.228936
"etort-32","etort-41",0.203302
"etort-33","etort-41",0.197553
"etort-34","etort-41",0.199281
"etort-35","etort-41",0.205933
"etort-36","etort-41",0.222327
"etort-37","etort-41",0.225018
"etort-38","etort-41",0.226356
"etort-39","etort-41",0.198093
"etort-40","etort-41",0.198481
"etort-41","etort-41",0.129469
"etort-1","etort-42",0.208218
"etort-2","etort-42",0.204159
"etort-3","etort-42",0.202945
"etort-4","etort-42",0.202411
"etort-5","etort-42",0.196885
"etort-6","etort-42",0.200829
"etort-7","etort-42",0.202938
"etort-8","etort-42",0.196478
"etort-9","etort-42",0.196825
"etort-10","etort-42",0.203059
"etort-11","etort-42",0.202927
"etort-12","etort-42",0.20668
"etort-13","etort-42",0.202253
"etort-14","etort-42",0.204431
"etort-15","etort-42",0.216371
"etort-16","etort-42",0.20682
"etort-17","etort-42",0.217128
"etort-18","etort-42",0.20353
"etort-19","etort-42",0.203793
"etort-20","etort-42",0.202268
"etort-21","etort-42",0.201623
"etort-22","etort-42",0.202982
"etort-23","etort-42",0.205827
"etort-24","etort-42",0.204581
"etort-25","etort-42",0.206731
