"etort1","etort2","distance"
"etort-79","etort-95",28418.4221723301
"etort-80","etort-95",38321.7405431508
"etort-81","etort-95",59310.5196620378
"etort-82","etort-95",60560.3574232779
"etort-83","etort-95",59905.2664567791
"etort-84","etort-95",62885.2473509394
"etort-85","etort-95",62657.5784838811
"etort-86","etort-95",119382.723279835
"etort-87","etort-95",26419.0994118627
"etort-89","etort-95",60602.3318207845
"etort-90","etort-95",57624.6927421822
"etort-93","etort-95",54912.5083588612
"etort-94","etort-95",48234.5535856672
"etort-95","etort-95",0
"etort-15","etort-112",82223.7770222983
"etort-17","etort-112",147543.087075091
"etort-31","etort-112",123930.511730348
"etort-36","etort-112",124439.473987117
"etort-37","etort-112",189388.013970459
"etort-38","etort-112",79119.812508357
"etort-46","etort-112",74645.5086215038
"etort-47","etort-112",72961.7924076815
"etort-48","etort-112",71887.7057773454
"etort-49","etort-112",105368.466276302
"etort-51","etort-112",107625.810565284
"etort-53","etort-112",64272.0210522351
"etort-55","etort-112",70514.66323503
"etort-56 (sheared2)","etort-112",84415.0816348176
"etort-58","etort-112",179038.566491436
"etort-59","etort-112",10772.6621962561
"etort-62","etort-112",30713.0137574263
"etort-78","etort-112",120094.36496098
"etort-79","etort-112",77179.2335663054
"etort-80","etort-112",87969.0487445848
"etort-81","etort-112",64190.0418368964
"etort-82","etort-112",63673.6317940068
"etort-83","etort-112",63291.6734311777
"etort-84","etort-112",65087.9060352002
"etort-85","etort-112",66333.6611611185
"etort-86","etort-112",132166.896682073
"etort-87","etort-112",76327.6258133766
"etort-89","etort-112",62857.8655200377
"etort-90","etort-112",60116.0989660997
"etort-93","etort-112",103622.015039071
"etort-94","etort-112",80486.0714599202
"etort-95","etort-112",49914.6485966127
"etort-112","etort-112",0
"etort-15","etort-113",96012.6306265733
"etort-17","etort-113",162299.216132002
"etort-31","etort-113",138022.657108673
"etort-36","etort-113",106221.19428842
"etort-37","etort-113",175541.076950561
"etort-38","etort-113",83898.5943951537
"etort-46","etort-113",57548.4768905149
"etort-47","etort-113",56078.7631138002
"etort-48","etort-113",54591.9113240344
"etort-49","etort-113",88288.6497485109
"etort-51","etort-113",91049.6005939301
"etort-53","etort-113",80492.7440737395
"etort-55","etort-113",53323.1542012973
"etort-56 (sheared2)","etort-113",62850.3075370041
"etort-58","etort-113",181262.977123521
"etort-59","etort-113",12155.5144910108
"etort-62","etort-113",38568.5572007625
"etort-78","etort-113",110147.161450196
"etort-79","etort-113",58880.3264514905
"etort-80","etort-113",70346.9800764709
"etort-81","etort-113",45845.1425455442
"etort-82","etort-113",45809.1464854884
"etort-83","etort-113",45317.1285600758
"etort-84","etort-113",47605.0778751462
"etort-85","etort-113",48483.9824354855
"etort-86","etort-113",137292.096252602
"etort-87","etort-113",59763.4674749653
"etort-89","etort-113",45197.2532550439
"etort-90","etort-113",42167.1878068786
"etort-93","etort-113",84706.1296775472
"etort-94","etort-113",58910.6345781255
"etort-95","etort-113",34491.9192198067
"etort-112","etort-113",21577.2418068064
"etort-113","etort-113",0
"etort-15","etort-130",132451.696897993
"etort-17","etort-130",198599.568454986
"etort-31","etort-130",173996.537798836
"etort-36","etort-130",88196.1685106043
"etort-37","etort-130",166399.075934551
"etort-38","etort-130",112599.526733218
"etort-46","etort-130",28074.2861521472
"etort-47","etort-130",27714.9991999175
"etort-48","etort-130",25381.1865697648
"etort-49","etort-130",54590.8867727401
"etort-51","etort-130",58265.0596446364
"etort-53","etort-130",118800.630179514
"etort-55","etort-130",24896.1782957086
"etort-56 (sheared2)","etort-130",26720.9710266861
"etort-58","etort-130",202310.178123284
"etort-59","etort-130",51820.9247256
"etort-62","etort-130",74595.0143652889
"etort-78","etort-130",113756.600601588
"etort-79","etort-130",48412.9427467572
"etort-80","etort-130",59419.5319736398
"etort-81","etort-130",16543.6708250854
"etort-82","etort-130",18433.1236396385
"etort-83","etort-130",17805.1071629829
"etort-84","etort-130",20664.8885968445
"etort-85","etort-130",19750.8534608255
"etort-86","etort-130",163645.824077585
"etort-87","etort-130",55135.4266137535
"etort-89","etort-130",18969.2048074264
"etort-90","etort-130",16910.4943046985
"etort-93","etort-130",66310.4214513289
"etort-94","etort-130",24691.3307927293
"etort-95","etort-130",44497.7085443415
"etort-112","etort-130",60590.1534192642
"etort-113","etort-130",39666.856372904
"etort-130","etort-130",0
"etort-15","etort-131",122769.501129298
"etort-17","etort-131",188823.375519707
"etort-31","etort-131",164193.679565695
"etort-36","etort-131",85376.5516598591
"etort-37","etort-131",161800.105837573
"etort-38","etort-131",102505.769659975
"etort-46","etort-131",37204.9112376705
"etort-47","etort-131",36584.9480901541
"etort-48","etort-131",34338.036858708
"etort-49","etort-131",64636.7796474874
"etort-51","etort-131",68261.9221689947
"etort-53","etort-131",109586.782997533
"etort-55","etort-131",33639.1721880886
